Index,Sentences,Annotation
14610,It is a question of which administration does the right thing.,None
14673,"And in our case, I do believe that our programs will stimulate the creative energies of a hundred and eighty million free Americans.",Claim
14806,"I believe the programs that Senator Kennedy advocates will have a tendency to stifle those creative energies, I believe in other words, that his program would lead to the stagnation of the motive power that we need in this country to get progress.",Claim
15054,"The final point that I would like to make is this: Senator Kennedy has suggested in his speeches that we lack compassion for the poor, for the old, and for others that are unfortunate.",None
15239,Let us understand throughout this campaign that his motives and mine are sincere.,None
15321,I know what it means to be poor.,Claim
15354,I know what it means to see people who are unemployed.,Claim
15409,"I know Senator Kennedy feels as deeply about these problems as I do, but our disagreement is not about the goals for America but only about the means to reach those goals.",Claim
15588,"Thank you, Mr. Nixon.",None
15610,"That completes the opening statements, and now the candidates will answer questions or comment upon one another's answers to questions, put by correspondents of the networks.",None
15785,The correspondents:,None
15962,The first question to Senator Kennedy from Mr. Fleming.,None
16027,"Senator, the Vice President in his campaign has said that you were naive and at times immature.",Premise
16123,He has raised the question of leadership.,None
16165,"On this issue, why do you think people should vote for you rather than the Vice President?",None
16265,"Well, the Vice President and I came to the Congress together 1946; we both served in the Labor Committee.",Premise
16371,"I've been there now for fourteen years, the same period of time that he has, so that our experience in uh - government is comparable.",Premise
16505,"Secondly, I think the question is uh - what are the programs that we advocate, what is the party record that we lead?",Claim
16623,"I come out of the Democratic party, which in this century has produced Woodrow Wilson and Franklin Roosevelt and Harry Truman, and which supported and sustained these programs which I've discussed tonight.",Premise
16829,Mr. Nixon comes out of the Republican party.,Premise
16874,He was nominated by it.,Premise
16898,"And it is a fact that through most of these last twenty-five years the Republican leadership has opposed federal aid for education, medical care for the aged, development of the Tennessee Valley, development of our natural resources.",Claim
17132,I think Mr. Nixon is an effective leader of his party.,Claim
17187,I hope he would grant me the same.,Claim
17222,The question before us is:which point of view and which party do we want to lead the United States?,None
17329,"Mr. Nixon, would you like to comment on that statement?",None
17392,I have no comment.,None
17418,The next question: Mr. Novins.,None
17457,"Mr. Vice President, your campaign stresses the value of your eight year experience, and the question arises as to whether that experience was as an observer or as a participant or as an initiator of policy-making.",Premise
17671,Would you tell us please specifically what major proposals you have made in the last eight years that have been adopted by the Administration?,None
17821,It would be rather difficult to cover them in eight and- in two and a half minutes.,None
17905,I would suggest that these proposals could be mentioned.,None
17962,"First, after each of my foreign trips I have made recommendations that have been adopted.",Premise
18052,"For example, after my first trip abroad - abroad, I strongly recommended that we increase our exchange programs particularly as they related to exchange of persons of leaders in the labor field and in the information field.",Premise
18276,"After my trip to South America, I made recommendations that a separate inter-American lending agency be set up which the South American nations would like much better than a lend- than to participate in the lending agencies which treated all the countries of the world the same.",Premise
18555,"Uh - I have made other recommendations after each of the other trips; for example, after my trip abroad to Hungary I made some recommendations with regard to the Hungarian refugee situation which were adopted, not only by the President but some of them were enacted into law by the Congress.",Premise
18847,"Within the Administration, as a chairman of the President's Committee on Price Stability and Economic Growth, I have had the opportunity to make recommendations which have been adopted within the Administration and which I think have been reasonably effective.",Premise
19108,I know Senator Kennedy suggested in his speech at Cleveland yesterday that that committee had not been particularly effective.,None
19235,I would only suggest that while we do not take the credit for it - I would not presume to - that since that committee has been formed the price line has been held very well within the United States.,None
19443,"Well, I would say in the latter that the - and that's what I found uh - somewhat unsatisfactory about the figures uh - Mr. Nixon, that you used in your previous speech, when you talked about the Truman Administration.",Claim
19661,"You - Mr. Truman came to office in nineteen uh - forty-four and at the end of the war, and uh - difficulties that were facing the United States during that period of transition - 1946 when price controls were lifted - so it's rather difficult to use an overall figure taking those seven and a half years and comparing them to the last eight years.",Premise
20009,I prefer to take the overall percentage record of the last twenty years of the Democrats and the eight years of the Republicans to show an overall period of growth.,Claim
20174,In regard to uh - price stability uh - I'm not aware that that committee did produce recommendations that ever were certainly before the Congress from the point of view of legislation in regard to controlling prices.,Claim
20391,"In regard to the exchange of students and labor unions, I am chairman of the subcommittee on Africa and I think that one of the most unfortunate phases of our policy towards that country was the very minute number of exchanges that we had.",Claim
20631,I think it's true of Latin America also.,Claim
20672,"We did come forward with a program of students for the Congo of over three hundred which was more than the federal government had for all of Africa the previous year, so that I don't think that uh - we have moved at least in those two areas with sufficient vigor.",Premise
20944,The next question to Senator Kennedy from Mr. Warren.,None
21006,"Uh - Senator Kennedy, during your brief speech a few minutes ago you mentioned farm surpluses.",None
21110,That's correct.,None
21134,"I'd like to ask this: It's a fact, I think, that presidential candidates traditionally make promises to farmers.",Claim
21247,"Lots of people, I think, don't understand why the government pays farmers for not producing certain crops or paying farmers if they overproduce for that matter.",Claim
21408,"Now, let me ask, sir, why can't the farmer operate like the business man who operates a factory?",Claim
21505,If an auto company overproduces a certain model car Uncle Sam doesn't step in and buy up the surplus.,Premise
21607,Why this constant courting of the farmer?,None
21658,"Well, because I think that if the federal government moved out of the program and withdrew its supports uh - then I think you would have complete uh - economic chaos.",Premise
21825,The farmer plants in the spring and harvests in the fall.,Premise
21883,There are hundreds of thousands of them.,Premise
21924,They really don't - they're not able to control their market very well.,Premise
21996,"They bring their crops in or their livestock in, many of them about the same time.",Premise
22079,They have only a few purchasers that buy their milk or their hogs - a few large companies in many cases - and therefore the farmer is not in a position to bargain very effectively in the market place.,Claim
22280,I think the experience of the twenties has shown what a free market could do to agriculture.,Claim
22373,"And if the agricultural economy collapses, then the economy of the rest of the United States sooner or later will collapse.",Claim
22497,The farmers are the number one market for the automobile industry of the United States.,Premise
22585,The automobile industry is the number one market for steel.,Premise
22645,"So if the farmers' economy continues to decline as sharply as it has in recent years, then I think you would have a recession in the rest of the country.",Premise
22799,So I think the case for the government intervention is a good one.,Claim
22866,"Secondly, my objection to present farm policy is that there are no effective controls to bring supply and demand into better balance.",Claim
23000,"The dropping of the support price in order to limit production does not work, and we now have the highest uh - surpluses - nine billion dollars worth.",Premise
23151,We've had a uh - higher tax load from the Treasury for the farmer in the last few years with the lowest farm income in many years.,Premise
23282,I think that this farm policy has failed.,Claim
23324,In my judgment the only policy that will work will be for effective supply and demand to be in balance.,Claim
23428,And that can only be done through governmental action.,Premise
23483,"I therefore suggest that in those basic commodities which are supported, that the federal government, after endorsement by the farmers in that commodity, attempt to bring supply and demand into balance - attempt effective production controls - so that we won't have that five or six percent surplus which breaks the price fifteen or twenty per cent.",Claim
23833,I think Mr.Benson's program has failed.,Claim
23873,"And I must say, after reading the Vice President's speech before the farmers, as he read mine, I don't believe that it's very much different from Mr. Benson's.",Claim
24033,I don't think it provides effective governmental controls.,Claim
24092,"I think the support prices are tied to the average market price of the last three years, which was Mr. Benson's theory.",Claim
24212,I therefore do not believe that this is a sharp enough breach with the past to give us any hope of success for the future.,Claim
24342,"Mr. Nixon, comment?",None
24369,I of course disagree with Senator Kennedy insofar as his suggestions as to what should be done uh - with re- on the farm program.,Claim
24499,"He has made the suggestion that what we need is to move in the direction of more government controls, a suggestion that would also mean raising prices uh - that the consumers pay for products and im- and imposing upon the farmers uh - controls on acreage even far more than they have today.",Premise
24790,I think this is the wrong direction.,Claim
24827,I don't think this has worked in the past; I do not think it will work in the future.,Claim
24913,The program that I have advocated is one which departs from the present program that we have in this respect.,None
25023,It recognizes that the government has a responsibility to get the farmer out of the trouble he presently is in because the government got him into it.,Premise
25174,And that's the fundamental reason why we can't let the farmer go by himself at the present time.,Claim
25271,The farmer produced these surpluses because the government asked him to through legislation during the war.,Premise
25379,"Now that we have these surpluses, it's our responsibility to indemnify the farmer during that period that we get rid of the farmer uh - the surpluses.",Premise
25530,"Until we get the surpluses off the farmer's back, however, we should have a program such as I announced, which will see that farm income holds up.",Claim
25677,"But I would propose holding that income up not through a type of program that Senator Kennedy has suggested that would raise prices, but one that would indemnify the farmer, pay the farmer in kind uh - from the products which are in surplus.",Claim
25926,The next question to Vice President Nixon from Mr. Vanocur.,None
25995,"Uh - Mr. Vice President, since the question of executive leadership is a very important campaign issue, I'd like to follow Mr. Novins' question.",Claim
26140,"Now, Republican campaign slogans - you'll see them on signs around the country as you did last week - say it's experience that counts - that's over a picture of yourself; sir uh - implying that you've had more governmental executive decision-making uh - experience than uh - your opponent.",Claim
26430,"Now, in his news conference on August twenty-fourth, President Eisenhower was asked to give one example of a major idea of yours that he adopted.",None
26576,"His reply was, and I'm quoting; ""If you give me a week I might think of one.",None
26653,"I don't remember.""",None
26672,"Now that was a month ago, sir, and the President hasn't brought it up since, and I'm wondering, sir, if you can clarify which version is correct - the one put out by Republican campaign leaders or the one put out by President Eisenhower?",None
26917,"Well, I would suggest, Mr. Vanocur, that uh - if you know the President, that was probably a facetious remark.",None
27028,"Uh - I would also suggest that insofar as his statement is concerned, that I think it would be improper for the President of the United States to disclose uh - the instances in which members of his official family had made recommendations, as I have made them through the years to him, which he has accepted or rejected.",Claim
27349,The President has always maintained and very properly so that he is entitled to get what advice he wants from his cabinet and from his other advisers without disclosing that to anybody - including as a matter of fact the Congress.,Premise
27580,"Now, I can only say this.",None
27606,Through the years I have sat in the National Security Council.,Premise
27669,I have been in the cabinet.,Premise
27697,I have met with the legislative leaders.,Premise
27738,"I have met with the President when he made the great decisions with regard to Lebanon, Quemoy and Matsu, other matters.",Premise
27858,The President has asked for my advice.,Premise
27897,I have given it.,None
27914,Sometimes my advice has been taken.,Premise
27950,Sometimes it has not.,None
27972,I do not say that I have made the decisions.,Premise
28017,"And I would say that no president should ever allow anybody else to make the major decisions, The president only makes the decisions.",None
28151,All that his advisers do is to give counsel when he asks for it.,None
28216,"As far as what experience counts and whether that is experience that counts, that isn't for me to say.",None
28319,Uh - I can only say that my experience is there for the people to consider; Senator Kennedy's is there for the people to consider.,Claim
28450,"As he pointed out, we came to the Congress in the same year.",None
28511,His experience has been different from mine.,None
28556,Mine has been in the executive branch.,Premise
28595,His has been in the legislative branch.,Premise
28635,I would say that the people now have the opportunity to evaluate his as against mine and I think both he and I are going to abide by whatever the people decide.,Claim
28803,Senator Kennedy.,None
28829,"Well, I'll just say that the question is of experience and the question also is uh - what our judgment is of the future, and what our goals are for the United States, and what ability we have to implement those goals.",Premise
29047,Abraham Lincoln came to the presidency in 1860 after a rather little known uh - session in the House of Representatives and after being defeated for the Senate in fifty-eight and was a distinguished president.,None
29257,There's no certain road to the presidency.,Claim
29300,There are no guarantees that uh - if you take uh - one road or another that you will be a successful president.,Claim
29412,I have been in the Congress for fourteen years.,Premise
29460,I have voted in the last uh - eight years uh - and the Vice President was uh - presiding over the Senate and meeting his other responsibilities.,Premise
29605,"I have met met uh - decisions over eight hundred times on matters which affect not only the domestic security of the United States, but as a member of the Senate Foreign Relations Committee.",Premise
29796,The question really is: which candidate and which party can meet the problems that the United States is going to face in the sixties?,None
29937,The next question to Senator Kennedy from Mr. Novins.,None
29999,"Senator Kennedy, in connection with these problems of the future that you speak of, and the program that you enunciated earlier in your direct talk, you call for expanding some of the welfare programs for schools, for teacher salaries, medical care, and so forth; but you also call for reducing the federal debt.",Premise
30312,"And I'm wondering how you, if you're president in January, would go about paying the bill for all this.",Claim
30416,Does this mean that you?,None
30450,I didn't indicate.,None
30469,"I did not advocate reducing the federal debt because I don't believe that you're going to be able to reduce the federal debt very much in nineteen sixty-one, two, or three.",Claim
30642,"I think you have heavy obligations which affect our security, which we're going to have to meet.",Claim
30739,"And therefore I've never suggested we should uh - be able to retire the debt substantially, or even at all in nineteen sixty-one or two.",Premise
30884,"Senator, I believe in - in one of your speeches -",None
30943,"No, never.",None
30962,- you suggested that reducing the interest rate would help toward -,None
31039,No.,None
31039,No.,None
31047,Not reducing the interest -,None
31083,- a reduction of the Federal debt.,None
31127,- reducing the interest rate.,Premise
31157,"In my judgment, the hard money, tight money policy, fiscal policy of this Administration has contributed to the slow-down in our economy, which helped bring the recession of fifty-four; which made the recession of fifty-eight rather intense, and which has slowed, somewhat, our economic activity in 1960.",Claim
31462,"What I have talked about, however, the kind of programs that I've talked about, in my judgment, are uh - fiscally sound.",Premise
31583,"Medical care for the aged, I would put under social security.",Claim
31645,The Vice President and I disagree on this.,Premise
31688,"The program - the Javits-Nixon or the Nixon- Javits program - would have cost, if fully used uh - six hundred million dollars by the government per year, and six hundred million dollars by the state.",Premise
31888,"The program which I advocated, which failed by five votes in the United States Senate, would have put medical care for the aged in Social Security, and would have been paid for through the Social Security System and the Social Security tax.",Claim
32129,"Secondly, I support federal aid to education and federal aid for teachers' salaries.",None
32214,I think that's a good investment.,Claim
32248,I think we're going to have to do it.,Claim
32286,"And I think to heap the burden further on the property tax, which is already strained in many of our communities, will provide, will make sh- insure, in my opinion, that many of our children will not be adequately educated, and many of our teachers not adequately compensated.",Premise
32563,There is no greater return to an economy or to a society than an educational system second to none.,Premise
32663,"On the question of the development of natural resources, I would pay as you go in the sense that they would be balanced and the power revenues would bring back sufficient money to finance the projects, in the same way as the Tennessee Valley.",None
32906,I believe in the balanced budget.,Premise
32940,And the only conditions under which I would unbalance the budget would be if there was a grave national emergency or a serious recession.,Premise
33078,"Otherwise, with a steady rate of economic growth - and Mr. Nixon and Mr. Rockefeller, in their meeting, said a five per cent economic growth would bring by 1962 ten billion dollars extra in tax revenues.",Claim
33282,"Whatever is brought in, I think that we can finance essential programs within a balanced budget, if business remains orderly.",None
33415,"Mr. Nixon, your comment?",None
33447,Yes.,Claim
33452,"I think what Mr. Novins was referring to was not one of Senator Kennedy's speeches, but the Democratic platform, which did mention cutting the national debt.",Claim
33610,"I think, too, that it should be pointed out that of course it is not possible, particularly under the proposals that Senator Kennedy has advocated, either to cut the national debt or to reduce taxes.",None
33810,As a matter of fact it will be necessary to raise taxes.,Premise
33867,As Senator Kennedy points out that as far as his one proposal is concerned - the one for medical care for the aged - that that would be financed out of Social Security.,Claim
34036,"That, however, is raising taxes for those who pay Social Security.",Premise
34103,He points out that he would make pay-as-you-go be the basis for our natural resources development.,Premise
34202,"Where our natural resources development - which I also support, incidentally, however - whenever you uh - uh - in - in - uh - appropriates money for one of these projects, you have to pay now and appropriate the money and the eh- while they eventually do pay out, it doesn't mean that you - the government doesn't have to put out the money this year.",Claim
34553,"And so I would say that in all of these proposals Senator Kennedy has made, they will result in one of two things: either he has to raise taxes or he has to unbalance the budget.",Claim
34732,"If he unbalances the budget, that means you have inflation, and that will be, of course, a very cruel blow to the very people - the older people - that we've been talking about.",Claim
34910,"As far as aid for school construction is concerned, I favor that, as Senator Kennedy did, in January of this year, when he said he favored that rather than aid to s- teacher salaries.",Premise
35094,I favor that because I believe that's the best way to aid our schools without running any risk whatever of the federal government telling our teachers what to teach.,None
35268,The next question to Vice President Nixon from Mr. Warren.,Claim
35335,"Mr. Vice President you mentioned schools and it was just yesterday I think you asked for a crash program to raise education standards, and this evening you talked about advances in education.",Premise
35527,"Mr. Vice President, you said - it was back in 1957 - that salaries paid to school teachers were nothing short of a national disgrace.",Premise
35661,"Higher salaries for teachers, you added, were important and if the situation wasn't corrected it could lead to a national disaster.",Premise
35793,"And yet, you refused to vote in the Senate in order to break a tie vote when that single vote, if it had been yes, would have granted salary increases to teachers.",None
35957,"I wonder if you could explain that, sir.",None
36006,I'm awfully glad you ge- got that question because as you know I got into it at the last of my other question and wasn't able to complete the argument.,Claim
36158,"Uh - I think that the reason that I voted against having the federal government uh - pay teachers' salaries was probably the very reason that concerned Senator Kennedy when in January of this year, in his kick-off press conference, he said that he favored aid for school construction, but at that time did not feel that there should be aid for teachers' salaries - at least that's the way I read his remarks.",None
36567,"Now, why should there be any question about the federal government aiding s- teachers' salaries?",None
36664,Why did Senator Kennedy take that position then?,None
36713,Why do I take it now?,None
36735,"We both took it then, and I take it now, for this reason: we want higher teachers' salaries.",Claim
36828,We need higher teachers' salaries.,Claim
36863,But we also want our education to be free of federal control.,Claim
36925,"When the federal government gets the power to pay teachers, inevitably in my opinion, it will acquire the power to set standards and to tell the teachers what to teach.",Claim
37094,I think this would be bad for the country; I think it would be bad for the teaching profession.,None
37190,There is another point that should be made.,None
37234,I favor higher salaries for teachers.,Premise
37272,"But, as Senator Kennedy said in January of this year in this same press conference, the way that you get higher salaries for teachers is to support school construction, which means that all of the local school districts in the various states then have money which is freed to raise the standards for teachers' salaries.",Claim
37592,"I should also point out this; once you put the responsibility on the federal government for paying a portion of teachers' salaries, your local communities and your states are not going to meet the responsibility as much as they should.",Claim
37828,"I believe, in other words, that we have seen the local communities and the state assuming more of that responsibility.",Premise
37947,Teachers' salaries very fortunately have gone up fifty percent in the last eight years as against only a thirty-four percent rise for other salaries.,None
38097,This is not enough; it should be more.,Claim
38136,But I do not believe that the way to get more salaries for teachers is to have the federal government get in with a massive program.,Premise
38269,My objection here is not the cost in dollars.,Premise
38315,"My objection here is the potential cost in controls and eventual freedom for the American people by giving the federal government power over education, and that is the greatest power a government can have.",None
38529,Senator Kennedy's comment?,Claim
38565,"When uh - the Vice President quotes me in January, sixty, I do not believe the federal government should pay directly teachers' salaries, but that was not the issue before the Senate in February.",Premise
38761,The issue before the Senate was that the money would be given to the state.,Premise
38837,The state then could determine whether the money would be spent for school construction or teacher salaries.,Claim
38946,On that question the Vice President and I disagreed.,Premise
38999,"I voted in favor of that proposal and supported it strongly, because I think that that provided assistance to our teachers for their salaries without any chance of federal control and it is on that vote that th- Mr. Nixon and I disagreed, and his tie vote uh - defeated his breaking the tie defeated the proposal.",Claim
39313,I don't want the federal government paying teachers' salaries directly.,Premise
39385,"But if the money will go to the states and the states can then determine whether it shall go for school construction or for teachers' salaries, in my opinion you protect the local authority over the school board and the school committee.",Claim
